product,price,link,years,kilometraje,created,id,city,state
byd song plus dm-i 1.5 hibrida enchufable,183900000,https://carro.mercadolibre.com.co/mco-1402361017-byd-song-plus-dm-i-15-hibrida-enchufable-_jm#position=37&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2024,5800,2024-03-14,1402361017,suba,bogota d.c.
mazda 3 2.0 grand touring,64900000,https://carro.mercadolibre.com.co/mco-2261428954-mazda-3-20-grand-touring-2016-_jm#position=38&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2016,59000,2024-03-14,2261428954,envigado,antioquia
chevrolet tracker 1.8 lt,72000000,https://carro.mercadolibre.com.co/mco-1402359669-chevrolet-tracker-_jm#position=39&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2018,47000,2024-03-14,1402359669,usaquen,bogota d.c.
kia picanto 1.2 vibrant,59500000,https://carro.mercadolibre.com.co/mco-2261401840-kia-picanto-_jm#position=40&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2024,3600,2024-03-14,2261401840,suba,bogota d.c.
nissan x-trail 2.5 kapital,63000000,https://carro.mercadolibre.com.co/mco-2261478326-nissan-x-trail-t-31-2015-_jm#position=41&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2015,81000,2024-03-14,2261478326,kennedy,bogota d.c.
mercedes-benz c 200 coupe,140000000,https://carro.mercadolibre.com.co/mco-2261425730-mercedes-benz-c-200-coupe-2019-_jm#position=42&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2019,10500,2024-03-14,2261425730,usaquen,bogota d.c.
bmw x4 2.0 xdrive20d xline,184500000,https://carro.mercadolibre.com.co/mco-2261193834-bmw-x4-20-xdrive-20d-xline-2019-_jm#position=43&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2019,42333,2024-03-14,2261193834,medellin,antioquia
ford escape 2.0 se 4x4,66200000,https://carro.mercadolibre.com.co/mco-2261437046-ford-escape-4x4-20-_jm#position=44&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2016,91500,2024-03-14,2261437046,kennedy,bogota d.c.
suzuki ertiga 1.4 mpv,49000000,https://carro.mercadolibre.com.co/mco-2261436920-suzuki-ertiga-mt-_jm#position=45&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2016,58000,2024-03-14,2261436920,ciudad bolivar,bogota d.c.
bmw x3 2.0 xdrive30e tp hibrida enchufable.,280000000,https://carro.mercadolibre.com.co/mco-2261179764-bmw-x3-20-xdrive30e-tp-hibrida-enchufable-_jm#position=46&search_layout=grid&type=item&tracking_id=8c9a515f-b749-42a2-88f6-89bba958cb78,2023,6800,2024-03-14,2261179764,chapinero,bogota d.c.
